0,1,2,3,4,5,6,7
,0.09847273,0.1162055,0.1144072,0.1241489,0.09826491,0.1146734,0.09849816
,0.1200344,0.1017568,0.1130886,0.1160478,0.09859334,0.1131187,0.0992813
,0.1164288,0.1017274,0.116455,0.1102887,0.09533627,0.1195083,0.1008824
,0.1233136,0.1147636,0.1362401,0.09717413,0.1604113,0.1108051,0.08846542
,0.1073047,0.1152749,0.2000825,0.1548982,0.1056449,0.123132,0.1089309
,0.110873,0.1101815,0.09311046,0.09992885,0.1191334,0.1130592,0.1092042
,0.1708151,0.09787373,0.1176126,0.1087692,0.1030773,0.1540166,0.09847141
,0.1158838,0.09492926,0.08745861,0.1072245,0.1173334,0.1283586,0.09667694
,0.1083344,0.1149481,0.0976228,0.1253103,0.1206441,0.112991,0.103868
,0.1562981,0.1009927,0.1217282,0.09557317,0.1006188,0.1034876,0.1184554
,0.1179764,0.1035132,0.1109639,0.1055095,0.128728,0.1552782,0.1480958
,0.1487455,0.1015406,0.09968049,0.09586183,0.1559005,0.1086527,0.1182146
,0.1582327,0.112513,0.1323447,0.1149986,0.1074332,0.09701365,0.1128019
,0.117238,0.092406,0.1025963,0.1487202,0.1058758,0.1236373,0.09478506
,0.140848,0.1143213,0.1339585,0.1320392,0.1051336,0.1039252,0.1027724
,0.1132252,0.1296325,0.1005679,0.129158,0.09535983,0.1257407,0.1493955
,0.09413293,0.1292561,0.09859907,0.1221771,0.1109542,0.1037327,0.1177289
,0.09688142,0.1021639,0.09794961,0.1251771,0.1073121,0.09692779,0.1004471
,0.1271169,0.09290829,0.1062805,0.1631644,0.1235693,0.1119774,0.1036934
,0.09800188,0.176633,0.1189982,0.1343655,0.1232832,0.1041582,0.1268677
,0.1898667,0.1039838,0.09734321,0.1610581,0.1464348,0.09079801,0.1234942
,0.1564786,0.1732865,0.1099529,0.1163386,0.09443109,0.1027103,0.0991537
,0.1210278,0.09168148,0.08373049,0.1502243,0.09403655,0.1066513,0.1011031
,0.1298697,0.09458461,0.1375367,0.1297812,0.1331675,0.09246044,0.1047008
,0.1327528,0.1280491,0.0899752,0.1077754,0.09877631,0.1162923,0.1024407
,0.1110014,0.09860084,0.1183064,0.1144567,0.1158063,0.1078117,0.08610901
,0.1587346,0.09746596,0.1468659,0.100464,0.1058936,0.144709,0.1145524
